1,ちはやふる,4,,https://www.ntv.co.jp/chihayafuru/
2,中二病でも恋がしたい!,4,,http://www.anime-chu-2.com/tv/
3,けいおん!,4,,http://www.tbs.co.jp/anime/k-on/k-on_tv/
4,たまこまーけっと,2,,http://tamakomarket.com/
5,有頂天家族,2,,http://uchoten-anime.com/
6,いなり、こんこん、恋いろは,2,,http://s.mxtv.jp/inarikonkon/
7,ブラック★ロックシューター,2,,https://www.noitamina-brs.jp/
8,涼宮ハルヒの憂鬱,3,,http://www.haruhi.tv/
9,Fate/staynight,3,,https://www.fate-sn.com/ubw/special/interview01.html
10,攻殻機動隊,3,,https://v-storage.bandaivisual.co.jp/sp-site/ghost-in-the-shell-special/
11,咲-saki-阿知賀編,5,,http://saki-anime.com/achiga/
12,RDG デッドデータガール,5,,http://rdg-anime.jp/
13,境界の彼方,5,,http://tv.anime-kyokai.com/
14,AIR,6,,http://www.tbs.co.jp/anime/air/
15,響け!ユーフォニアム,2,,http://tv.anime-eupho.com/