1,近江神宮,1,Ōmi-jingū Shrine
2,近江勧学館,1,Omi Kangakukan
3,JR大津京駅,1,大津京駅
4,JR米原駅,1,Maibara Station
5,京阪穴太駅,2,Anoo Station
6,京阪浜大津駅,2,Biwako-Hamaotsu Station
7,京阪石山駅,2,Keihan-Ishiyama Station
8,瀬田川大橋,2,Setagawao Bridge
9,瀬田川唐橋公園,2,Karahashi Park
10,檜山神社,2,Hiyama Shrine
11,旧伊庭家住宅,2,旧伊庭家住宅
12,豊郷小学校・部室,3,Toyosato Town Toyosato Elementary School
13,修学院駅,3,Shugakuin Station
14,レトロビーバー,3,レトロビーバー
15,南禅寺水路閣,3,Suirokaku
16,鴨川デルタ,3,鴨川デルタ
17,松ヶ崎橋,3,松ヶ崎橋西詰
18,白川通曼殊院道交差点,3,Manjuin-Dori
19,京阪藤森駅,4,Fujinomori Station
20,聖母女学院,4,聖母女学院 本館
21,出町桝形商店街,4,Demachiyanagi Shopping Street
22,出町桝形商店街,5,Demachiyanagi Shopping Street
23,鴨川デルタ,5,鴨川デルタ
24,下鴨神社,5,Shimogamo-jinja Shrine
25,賀茂大橋,5,Kamo Ohashi Bridge
26,六道珍皇寺,5,Rokudochinnoji
27,関電夷川発電所,5,Ebisugawasuiryoku Power Station
28,寺町商店街,5,Teramachi street shopping district
29,BONBON CAFE,5,BONBON CAFE
30,愛宕神社,5,Atago-Jinja Shrine (Old Hakuunji Temple)
31,嵐山渡月橋,5,Togetsu-kyō Bridge
32,六角堂 紫雲山頂法寺,5,Rokkakudō Temple
33,鞍馬湯,5,Kurama-yu
34,そば処司津屋,5,Shizuya
35,南座,5,Kyōto Minami-za
36,伏見稲荷大社,6,Fushimi Inari Taisha
37,産場稲荷社,6,産場稲荷
38,ローソン伏見稲荷駅前店,6,Lawson Fushimi-Inari-eki-mae
39,京阪電車 伏見稲荷駅,6,Fushimi-Inari Station
40,御食事処いなり,6,お食事処いなり
41,蹴上駅,6,Keage Station
42,ねじりまんぽ,6,Nejirimanpo (Spiral Brick Tunnel)
43,木幡中学校,7,Uji Municipal Kohata Junior High School
44,京阪木幡駅,7,Kowata Station
45,京阪六地蔵駅,7,Rokujizo Station
46,御蔵山バス停前交差点,7,Ogurayama Bus Stop
47,平尾第2公園,7,Hirao Dai 2 Park
48,カフェドリーム,8,カフェドリーム
49,武庫川河川敷,8,武庫川河川敷
50,西宮中央運動公園,8,Central Sports Park
51,ロイヤルホームセンター西宮店,8,Royal Home Centre
52,廣田神社,8,Hirota Shrine
53,県立西宮北高,8,Hyogo Kenritsu Nishinomiyakita High School
54,甲陽園駅,8,Koyoen Station
55,夙川学園前,8,Shukugawagakuin Chukozen Bus Stop
56,織田家長屋門,9,Oda house Nagayamon
57,明石公園弓道場,9,兵庫県立弓道場
58,神戸異人館,9,北野異人館街
59,ホテル モントレ神戸,9,TAKAMI BRIDAL ホテルモントレ神戸
60,神戸大橋,9,Kobe Great Bridge
61,ポートアイランド北公園,9,Port Island Kita Park
62,播磨科学公園都市,10,播磨科学公園都市
63,明石海峡大橋,10,Akashi-Kaikyo Bridge
64,鴻ノ池(奈良市中央体育館),11,Naraden Arena
65,徳慶寺,11,Tokuoji
66,福神駅,11,Fukugami Station
67,龍洞窟,11,龍洞院
68,明照寺,11,Meishoji Temple
69,専立寺,11,Senritsudera
70,大和上市駅,11,Yamato-Kamiichi Station
71,吉野駅,11,Yoshino Station
72,吉野山駅,11,Yoshinoyama Ropeway Station
73,辰巳屋前,11,辰巳屋前
74,仁王門前,11,仁王門
75,吉野山郵便局前,11,Yoshinoyama Post Office
76,吉水神社,11,Yoshimizu Shrine
77,龍王神社,11,Ryuo Shrine
78,花矢倉展望台,11,Hanayagura View
79,平谷小学校,12,平谷小学校跡地
80,玉置山駐車場,12,Tamakisan Parking Lot
81,玉置神社,12,Tamaki Shrine
82,橿原神宮前駅,13,Kashiharajingu-Mae Station
83,橿原神宮前通り,13,橿原神宮前
84,久米町子供広場,13,久米町子供広場
85,聖心学園東側,13,Seishingakuenchutokyoiku School
86,橿原学院高校前,13,Kashiharagakuin High School
87,聖心学園中等教育学校,13,Seishingakuenchutokyoiku School
88,深田池,13,Fukada Pond
89,株式会社ハヤシ,15,Hayashi
90,御崎神社,15,Misaki Shrine
91,バス停海猫島,15,海猫島（バス）
92,宇治橋西詰交差点,16,Ujibashinishizume Bus Stop
93,京阪宇治線六地蔵駅,16,Rokujizo Station
94,宇治川のベンチ,16,Ujigawa Park
95,京阪宇治駅,16,Uji Station